Sl_No,Customer Key,Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made,Cluster
1,87073,100000,2,1,1,0,0
2,38414,50000,3,0,10,9,2
3,17341,50000,7,1,3,4,0
4,40496,30000,5,1,1,4,0
5,47437,100000,6,0,12,3,1
6,58634,20000,3,0,1,8,2
7,48370,100000,5,0,11,2,1
8,37376,15000,3,0,1,1,2
9,82490,5000,2,0,2,2,2
10,44770,3000,4,0,1,7,2
11,52741,10000,4,0,5,5,2
12,52326,13000,3,0,2,7,2
13,92503,11000,1,2,5,9,2
14,25084,9000,1,1,5,6,2
15,68517,6000,2,2,4,6,2
16,55196,8000,2,0,5,7,2
17,62617,15000,2,1,2,4,2
18,96463,8000,2,0,3,4,2
19,39137,11000,2,2,2,7,2
20,14309,19000,4,1,5,8,2
21,29794,5000,3,2,5,5,2
22,87241,16000,2,0,3,7,2
23,30507,6000,4,1,4,6,2
24,61061,9000,1,1,3,4,2
25,24001,8000,2,0,2,10,2
26,68067,18000,1,1,5,10,2
27,65034,16000,3,0,5,9,2
28,14854,9000,2,2,2,10,2
29,81130,5000,2,0,4,6,2
30,29112,8000,4,0,4,7,2
31,13999,16000,3,1,5,4,2
32,32550,11000,3,1,5,6,2
33,82164,6000,1,0,5,10,2
34,61517,16000,1,0,5,6,2
35,28254,8000,4,1,3,10,2
36,30888,19000,2,0,4,4,2
37,46388,9000,3,1,4,10,2
38,74126,17000,2,0,4,6,2
39,52142,13000,4,1,3,10,2
40,37659,10000,2,2,4,9,2
41,83132,19000,4,2,5,9,2
42,20119,10000,1,1,2,7,2
43,52363,16000,4,2,3,4,2
44,50769,20000,2,0,4,4,2
45,68502,11000,4,2,4,5,2
46,99026,14000,4,1,4,9,2
47,83326,5000,1,2,2,5,2
48,62040,11000,1,2,2,6,2
49,37252,6000,4,0,2,8,2
50,74625,14000,3,2,2,6,2
51,51182,13000,1,0,5,9,2
52,60301,6000,2,1,5,5,2
53,96386,17000,2,1,5,8,2
54,43886,9000,3,0,5,9,2
55,78503,14000,2,0,4,9,2
56,68419,6000,1,2,2,4,2
57,32828,6000,1,0,2,5,2
58,17937,6000,2,0,2,10,2
59,71632,9000,1,0,4,7,2
60,81566,19000,4,1,4,9,2
61,29759,20000,4,1,4,7,2
62,36929,18000,1,2,2,9,2
63,70248,5000,1,0,2,4,2
64,91673,14000,3,0,4,6,2
65,61355,12000,1,0,5,9,2
66,60403,16000,1,1,4,4,2
67,85868,19000,2,0,3,6,2
68,76205,9000,4,2,2,6,2
69,66524,7000,1,2,4,10,2
70,69214,20000,1,2,3,7,2
71,21976,14000,1,2,4,7,2
72,35149,6000,3,2,2,7,2
73,27120,11000,3,1,2,6,2
74,18821,19000,3,1,3,6,2
75,33187,7000,2,0,5,8,2
76,93482,16000,3,1,4,6,2
77,90168,17000,1,2,4,6,2
78,71881,13000,3,1,4,4,2
79,59656,6000,2,0,4,10,2
80,12026,15000,1,1,2,7,2
81,99589,20000,2,2,4,8,2
82,38970,7000,3,1,5,5,2
83,57990,13000,1,1,2,5,2
84,39447,13000,3,1,4,6,2
85,79694,9000,3,2,4,5,2
86,79403,10000,1,1,4,5,2
87,47296,6000,4,1,3,7,2
88,37559,5000,4,1,2,5,2
89,38165,8000,1,1,4,8,2
90,49198,7000,4,2,4,8,2
91,18007,13000,2,1,4,6,2
92,59619,13000,1,1,2,10,2
93,37016,5000,1,1,4,6,2
94,91099,8000,1,2,5,7,2
95,74704,20000,2,2,4,4,2
96,25742,5000,1,2,5,7,2
97,11937,18000,3,2,3,6,2
98,52736,15000,2,0,5,4,2
99,88338,13000,1,1,4,9,2
100,18916,5000,2,1,4,6,2
101,92501,11000,1,0,5,6,2
102,96213,11000,1,1,5,9,2
103,26599,10000,4,1,5,10,2
104,73007,13000,1,0,3,7,2
105,97935,17000,2,1,2,10,2
106,26089,12000,2,1,4,9,2
107,14946,20000,2,1,5,5,2
108,74795,5000,2,2,2,6,2
109,73435,8000,3,2,2,6,2
110,41634,18000,4,2,3,8,2
111,84069,15000,4,2,3,5,2
112,83244,12000,2,0,4,9,2
113,87291,18000,4,1,3,10,2
114,18086,7000,4,1,2,4,2
115,33369,18000,4,0,3,6,2
116,15310,7000,2,2,3,7,2
117,98499,18000,1,0,2,7,2
118,35256,17000,4,0,4,7,2
119,89007,14000,3,1,4,5,2
120,93997,9000,3,0,4,9,2
121,16577,10000,4,2,4,6,2
122,25440,13000,3,0,5,10,2
123,81116,10000,2,2,2,4,2
124,63663,17000,1,1,4,8,2
125,69811,5000,2,2,3,7,2
126,36111,14000,2,1,5,5,2
127,39454,20000,4,1,4,9,2
128,70199,6000,3,2,3,9,2
129,11602,8000,4,1,5,4,2
130,49697,9000,3,1,4,6,2
131,28701,18000,3,1,5,6,2
132,61627,9000,3,0,2,5,2
133,34103,12000,4,0,2,6,2
134,14248,10000,3,1,5,9,2
135,31256,13000,4,1,5,7,2
136,45583,15000,3,2,3,6,2
137,52750,17000,3,0,2,8,2
138,95507,15000,2,0,5,8,2
139,23743,15000,1,1,5,9,2
140,53410,19000,1,0,3,10,2
141,53898,14000,3,0,2,8,2
142,66200,16000,2,0,4,5,2
143,58389,9000,4,1,4,8,2
144,61347,9000,2,1,5,4,2
145,59151,10000,4,2,4,8,2
146,37802,13000,3,0,4,4,2
147,60475,13000,2,1,3,9,2
148,95489,5000,2,2,5,6,2
149,77758,7000,1,2,2,10,2
150,23768,14000,2,1,2,7,2
151,87471,11000,3,2,2,9,2
152,85707,19000,1,1,4,4,2
153,97951,15000,3,2,2,6,2
154,54785,7000,4,0,4,6,2
155,97011,8000,4,2,3,10,2
156,35103,19000,1,1,4,5,2
157,18564,12000,3,2,5,7,2
158,61009,17000,1,2,5,8,2
159,24054,10000,3,2,5,9,2
160,63751,8000,1,2,2,4,2
161,52758,7000,1,0,3,10,2
162,78473,8000,3,2,5,5,2
163,80457,8000,2,0,3,4,2
164,59783,16000,3,0,5,10,2
165,64241,13000,4,0,4,8,2
166,32374,14000,1,0,4,9,2
167,97536,13000,4,0,4,7,2
168,33110,15000,4,2,3,6,2
169,36978,9000,1,1,4,9,2
170,54281,14000,3,1,4,7,2
171,98602,7000,2,1,2,8,2
172,97687,6000,2,2,3,7,2
173,28842,20000,2,0,5,6,2
174,38410,9000,2,1,5,8,2
175,38261,17000,4,1,2,7,2
176,20524,6000,1,0,2,5,2
177,37671,11000,2,2,2,5,2
178,25330,14000,3,0,4,8,2
179,41787,6000,1,1,4,7,2
180,11412,19000,2,2,3,4,2
181,55892,10000,1,0,3,5,2
182,95495,13000,3,0,2,10,2
183,41946,11000,3,0,3,7,2
184,86410,16000,1,2,5,8,2
185,76718,14000,4,0,2,4,2
186,98969,18000,3,0,4,4,2
187,77143,9000,1,2,2,6,2
188,38205,16000,2,2,3,8,2
189,53851,17000,2,0,3,5,2
190,52783,6000,3,2,3,5,2
191,63405,20000,3,0,4,10,2
192,48510,10000,2,1,3,6,2
193,97463,20000,3,0,3,5,2
194,18145,6000,2,2,5,8,2
195,14398,12000,2,0,4,4,2
196,98288,8000,2,1,4,8,2
197,69704,14000,2,0,2,8,2
198,29058,12000,1,1,2,7,2
199,15546,19000,1,1,4,7,2
200,16715,7000,4,2,4,9,2
201,87350,8000,3,0,2,9,2
202,13215,11000,1,0,3,8,2
203,20593,5000,1,0,3,8,2
204,56624,9000,2,0,3,7,2
205,33317,17000,2,2,5,5,2
206,99596,17000,1,0,5,5,2
207,72430,17000,2,1,2,4,2
208,16676,19000,4,2,4,4,2
209,40486,11000,2,0,3,9,2
210,90958,9000,1,0,2,9,2
211,67212,16000,4,1,4,6,2
212,44226,10000,3,1,5,4,2
213,94251,10000,3,1,3,4,2
214,61776,8000,1,0,2,10,2
215,55275,15000,4,1,4,9,2
216,18609,8000,4,0,4,7,2
217,54477,11000,3,1,5,4,2
218,12122,11000,4,0,2,5,2
219,28208,19000,3,1,5,7,2
220,68003,13000,2,1,5,8,2
221,79632,8000,1,0,3,10,2
